AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 22.09.2016 at 11:49:43 Compatible with AeroDyn v13.0.
Polar "CD = 1.2      360 Polar" on Foil "Circular Foil Placeholder" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
-180.00        Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
1.19979        Cn slope for zero lift for linear Cn curve (1/rad)
0.0000         Cn at stall value for positive angle of attack for linear Cn curve
0.0000         Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
1.2000         Minimum CD value
   -180.00    0.0000    1.2000
   -179.00    0.0000    1.2000
   -178.00    0.0000    1.2000
   -177.00    0.0000    1.2000
   -176.00    0.0000    1.2000
   -175.00    0.0000    1.2000
   -174.00    0.0000    1.2000
   -173.00    0.0000    1.2000
   -172.00    0.0000    1.2000
   -171.00    0.0000    1.2000
   -170.00    0.0000    1.2000
   -169.00    0.0000    1.2000
   -168.00    0.0000    1.2000
   -167.00    0.0000    1.2000
   -166.00    0.0000    1.2000
   -165.00    0.0000    1.2000
   -164.00    0.0000    1.2000
   -163.00    0.0000    1.2000
   -162.00    0.0000    1.2000
   -161.00    0.0000    1.2000
   -160.00    0.0000    1.2000
   -159.00    0.0000    1.2000
   -158.00    0.0000    1.2000
   -157.00    0.0000    1.2000
   -156.00    0.0000    1.2000
   -155.00    0.0000    1.2000
   -154.00    0.0000    1.2000
   -153.00    0.0000    1.2000
   -152.00    0.0000    1.2000
   -151.00    0.0000    1.2000
   -150.00    0.0000    1.2000
   -149.00    0.0000    1.2000
   -148.00    0.0000    1.2000
   -147.00    0.0000    1.2000
   -146.00    0.0000    1.2000
   -145.00    0.0000    1.2000
   -144.00    0.0000    1.2000
   -143.00    0.0000    1.2000
   -142.00    0.0000    1.2000
   -141.00    0.0000    1.2000
   -140.00    0.0000    1.2000
   -139.00    0.0000    1.2000
   -138.00    0.0000    1.2000
   -137.00    0.0000    1.2000
   -136.00    0.0000    1.2000
   -135.00    0.0000    1.2000
   -134.00    0.0000    1.2000
   -133.00    0.0000    1.2000
   -132.00    0.0000    1.2000
   -131.00    0.0000    1.2000
   -130.00    0.0000    1.2000
   -129.00    0.0000    1.2000
   -128.00    0.0000    1.2000
   -127.00    0.0000    1.2000
   -126.00    0.0000    1.2000
   -125.00    0.0000    1.2000
   -124.00    0.0000    1.2000
   -123.00    0.0000    1.2000
   -122.00    0.0000    1.2000
   -121.00    0.0000    1.2000
   -120.00    0.0000    1.2000
