AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 22.09.2016 at 11:49:43 Compatible with AeroDyn v13.0.
Polar "T1_Re1.000_M0.00_N9.0 360 M" on Foil "T1_Re1.000_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
10.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-2.86          Angle of attack for zero Cn for linear Cn curve (deg)
7.41158        Cn slope for zero lift for linear Cn curve (1/rad)
-0.8100        Cn at stall value for positive angle of attack for linear Cn curve
-0.8737        Cn at stall value for negative angle of attack for linear Cn curve
-1.50          Angle of attack for minimum CD (deg)
0.0091         Minimum CD value
   -180.00   -0.0802    0.0060
   -179.00    0.0213    0.0065
   -178.00    0.1205    0.0080
   -177.00    0.2099    0.0104
   -176.00    0.2774    0.0138
   -175.00    0.3141    0.0182
   -174.00    0.3234    0.0236
   -173.00    0.3178    0.0299
   -172.00    0.3090    0.0372
   -171.00    0.3034    0.0454
   -170.00    0.3028    0.0545
   -169.00    0.3069    0.0645
   -168.00    0.3147    0.0755
   -167.00    0.3252    0.0873
   -166.00    0.3375    0.1000
   -165.00    0.3509    0.1136
   -164.00    0.3649    0.1280
   -163.00    0.3792    0.1432
   -162.00    0.3934    0.1592
   -161.00    0.4074    0.1760
   -160.00    0.4209    0.1936
   -159.00    0.4339    0.2119
   -158.00    0.4462    0.2309
   -157.00    0.4579    0.2506
   -156.00    0.4688    0.2710
   -155.00    0.4789    0.2920
   -154.00    0.4882    0.3137
   -153.00    0.4966    0.3359
   -152.00    0.5041    0.3587
   -151.00    0.5108    0.3821
   -150.00    0.5167    0.4059
   -149.00    0.5216    0.4302
   -148.00    0.5257    0.4550
   -147.00    0.5289    0.4801
   -146.00    0.5313    0.5057
   -145.00    0.5328    0.5316
   -144.00    0.5335    0.5578
   -143.00    0.5334    0.5844
   -142.00    0.5326    0.6111
   -141.00    0.5309    0.6382
   -140.00    0.5285    0.6654
   -139.00    0.5254    0.6927
   -138.00    0.5215    0.7202
   -137.00    0.5170    0.7478
   -136.00    0.5118    0.7754
   -135.00    0.5060    0.8031
   -134.00    0.4995    0.8307
   -133.00    0.4925    0.8583
   -132.00    0.4849    0.8859
   -131.00    0.4767    0.9133
   -130.00    0.4681    0.9406
   -129.00    0.4590    0.9677
   -128.00    0.4494    0.9946
   -127.00    0.4393    1.0213
   -126.00    0.4289    1.0476
   -125.00    0.4180    1.0737
   -124.00    0.4068    1.0995
