AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 22.09.2016 at 11:49:43 Compatible with AeroDyn v13.0.
Polar "T1_Re1.000_M0.00_N9.0 360 M (2)" on Foil "T1_Re1.000_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
13.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.99          Angle of attack for zero Cn for linear Cn curve (deg)
7.40988        Cn slope for zero lift for linear Cn curve (1/rad)
1.4295         Cn at stall value for positive angle of attack for linear Cn curve
-0.9330        Cn at stall value for negative angle of attack for linear Cn curve
-1.50          Angle of attack for minimum CD (deg)
0.0105         Minimum CD value
   -180.00   -0.0548    0.0060
   -179.00    0.0476    0.0065
   -178.00    0.1472    0.0079
   -177.00    0.2365    0.0103
   -176.00    0.3033    0.0137
   -175.00    0.3392    0.0180
   -174.00    0.3482    0.0233
   -173.00    0.3427    0.0295
   -172.00    0.3343    0.0367
   -171.00    0.3290    0.0447
   -170.00    0.3288    0.0538
   -169.00    0.3335    0.0637
   -168.00    0.3419    0.0745
   -167.00    0.3532    0.0862
   -166.00    0.3665    0.0988
   -165.00    0.3811    0.1122
   -164.00    0.3964    0.1265
   -163.00    0.4121    0.1416
   -162.00    0.4278    0.1575
   -161.00    0.4435    0.1742
   -160.00    0.4588    0.1917
   -159.00    0.4737    0.2099
   -158.00    0.4880    0.2288
   -157.00    0.5017    0.2485
   -156.00    0.5147    0.2688
   -155.00    0.5270    0.2898
   -154.00    0.5385    0.3114
   -153.00    0.5492    0.3336
   -152.00    0.5590    0.3564
   -151.00    0.5681    0.3797
   -150.00    0.5762    0.4036
   -149.00    0.5834    0.4279
   -148.00    0.5898    0.4528
   -147.00    0.5953    0.4780
   -146.00    0.5999    0.5037
   -145.00    0.6036    0.5297
   -144.00    0.6065    0.5561
   -143.00    0.6084    0.5827
   -142.00    0.6095    0.6097
   -141.00    0.6098    0.6369
   -140.00    0.6092    0.6643
   -139.00    0.6077    0.6918
   -138.00    0.6055    0.7196
   -137.00    0.6024    0.7474
   -136.00    0.5985    0.7753
   -135.00    0.5939    0.8032
   -134.00    0.5885    0.8312
   -133.00    0.5823    0.8591
   -132.00    0.5755    0.8870
   -131.00    0.5679    0.9147
   -130.00    0.5597    0.9424
   -129.00    0.5508    0.9698
   -128.00    0.5413    0.9971
   -127.00    0.5311    1.0242
   -126.00    0.5204    1.0509
   -125.00    0.5091    1.0774
   -124.00    0.4972    1.1036
   -123.00    0.4848    1.1294
   -122.00    0.4719    1.1548
   -121.00    0.4585    1.1797
   -120.00    0.4446    1.2042
   -119.00    0.4304    1.2283
   -118.00    0.4157    1.2518
   -117.00    0.4006    1.2748
   -116.00    0.3851    1.2972
   -115.00    0.3693    1.3190
   -114.00    0.3531    1.3401
   -113.00    0.3366    1.3607
   -112.00    0.3199    1.3805
   -111.00    0.3029    1.3997
   -110.00    0.2850    1.4181
   -109.00    0.2675    1.4357
   -108.00    0.2499    1.4526
   -107.00    0.2320    1.4687
   -106.00    0.2140    1.4840
   -105.00    0.1959    1.4985
   -104.00    0.1776    1.5121
   -103.00    0.1592    1.5249
   -102.00    0.1407    1.5367
   -101.00    0.1222    1.5477
   -100.00    0.1035    1.5578
    -99.00    0.0849    1.5669
    -98.00    0.0662    1.5752
    -97.00    0.0476    1.5824
    -96.00    0.0289    1.5887
    -95.00    0.0103    1.5941
    -94.00   -0.0083    1.5985
    -93.00   -0.0269    1.6019
    -92.00   -0.0453    1.6044
    -91.00   -0.0637    1.6058
    -90.00   -0.0820    1.6063
    -89.00   -0.1001    1.6058
    -88.00   -0.1181    1.6044
    -87.00   -0.1360    1.6019
    -86.00   -0.1537    1.5985
    -85.00   -0.1713    1.5941
    -84.00   -0.1886    1.5887
    -83.00   -0.2058    1.5824
    -82.00   -0.2227    1.5751
    -81.00   -0.2394    1.5669
    -80.00   -0.2559    1.5578
    -79.00   -0.2721    1.5477
    -78.00   -0.2881    1.5367
    -77.00   -0.3038    1.5248
    -76.00   -0.3192    1.5121
    -75.00   -0.3343    1.4985
    -74.00   -0.3491    1.4840
    -73.00   -0.3635    1.4687
    -72.00   -0.3776    1.4526
    -71.00   -0.3914    1.4357
    -70.00   -0.4048    1.4180
    -69.00   -0.4178    1.3996
    -68.00   -0.4304    1.3805
    -67.00   -0.4426    1.3606
    -66.00   -0.4545    1.3401
    -65.00   -0.4658    1.3189
    -64.00   -0.4768    1.2971
    -63.00   -0.4873    1.2747
    -62.00   -0.4973    1.2517
    -61.00   -0.5069    1.2282
    -60.00   -0.5160    1.2041
    -59.00   -0.5246    1.1796
    -58.00   -0.5327    1.1546
    -57.00   -0.5402    1.1292
    -56.00   -0.5473    1.1034
    -55.00   -0.5538    1.0773
    -54.00   -0.5597    1.0508
    -53.00   -0.5651    1.0240
    -52.00   -0.5700    0.9969
    -51.00   -0.5742    0.9697
    -50.00   -0.5779    0.9422
    -49.00   -0.5810    0.9145
    -48.00   -0.5834    0.8868
    -47.00   -0.5853    0.8589
    -46.00   -0.5865    0.8309
    -45.00   -0.5872    0.8030
    -44.00   -0.5872    0.7750
    -43.00   -0.5865    0.7471
    -42.00   -0.5852    0.7192
    -41.00   -0.5833    0.6915
    -40.00   -0.5808    0.6639
    -39.00   -0.5776    0.6364
    -38.00   -0.5737    0.6092
    -37.00   -0.5693    0.5822
    -36.00   -0.5641    0.5555
    -35.00   -0.5584    0.5291
    -34.00   -0.5520    0.5030
    -33.00   -0.5451    0.4773
    -32.00   -0.5375    0.4520
    -31.00   -0.5294    0.4271
    -30.00   -0.5208    0.4026
    -29.00   -0.5116    0.3787
    -28.00   -0.5020    0.3552
    -27.00   -0.4920    0.3322
    -26.00   -0.4817    0.3098
    -25.00   -0.4713    0.2880
    -24.00   -0.4608    0.2668
    -23.00   -0.4505    0.2461
    -22.00   -0.4408    0.2261
    -21.00   -0.4320    0.2066
    -20.00   -0.4249    0.1878
    -19.00   -0.4204    0.1695
    -18.00   -0.4200    0.1516
    -17.00   -0.4262    0.1342
    -16.00   -0.4425    0.1171
    -15.00   -0.4746    0.1000
    -14.00   -0.5299    0.0828
    -13.00   -0.6160    0.0654
    -12.00   -0.7311    0.0483
    -11.00   -0.8460    0.0335
    -10.00   -0.9940    0.0151
     -9.50   -0.9436    0.0139
     -9.00   -0.8870    0.0134
     -8.50   -0.8266    0.0131
     -8.00   -0.7681    0.0125
     -7.50   -0.7078    0.0121
     -7.00   -0.6447    0.0118
     -6.50   -0.5813    0.0116
     -6.00   -0.5180    0.0115
     -5.50   -0.4551    0.0112
     -5.00   -0.3902    0.0110
     -4.50   -0.3254    0.0109
     -4.00   -0.2610    0.0108
     -3.50   -0.1970    0.0109
     -3.00   -0.1325    0.0107
     -2.50   -0.0668    0.0105
     -2.00   -0.0016    0.0105
     -1.50    0.0632    0.0105
     -1.00    0.1272    0.0105
     -0.50    0.1906    0.0106
      0.00    0.2558    0.0105
      0.50    0.3209    0.0105
      1.00    0.3854    0.0105
      1.50    0.4494    0.0106
      2.00    0.5122    0.0107
      2.50    0.5744    0.0108
      3.00    0.6377    0.0109
      3.50    0.7013    0.0110
      4.00    0.7643    0.0111
      4.50    0.8265    0.0112
      5.00    0.8875    0.0113
      5.50    0.9472    0.0115
      6.00    1.0056    0.0119
      6.50    1.0665    0.0120
      7.00    1.1264    0.0121
      7.50    1.1852    0.0123
      8.00    1.2421    0.0125
      8.50    1.2937    0.0129
      9.00    1.3463    0.0132
      9.50    1.4008    0.0134
     10.00    1.4491    0.0138
     10.50    1.4794    0.0143
     11.00    1.5212    0.0149
     11.50    1.5639    0.0155
     12.00    1.5889    0.0168
     12.50    1.6216    0.0180
     13.00    1.6333    0.0205
     13.50    1.6460    0.0235
     14.00    1.6405    0.0282
     14.50    1.6150    0.0350
     15.00    1.5862    0.0423
     15.50    1.5523    0.0505
     16.00    1.5123    0.0598
     16.50    1.4826    0.0685
     17.00    1.4578    0.0769
     17.50    1.4365    0.0849
     18.00    1.4202    0.0925
     18.50    1.3959    0.1013
     19.00    1.3974    0.1072
     19.50    1.3894    0.1143
     20.00    1.3846    0.1212
     21.00    1.1334    0.1665
     22.00    1.0837    0.1890
     23.00    1.0441    0.2119
     24.00    1.0133    0.2352
     25.00    0.9902    0.2588
     26.00    0.9735    0.2826
     27.00    0.9621    0.3068
     28.00    0.9549    0.3313
     29.00    0.9512    0.3561
     30.00    0.9502    0.3811
     31.00    0.9513    0.4065
     32.00    0.9541    0.4321
     33.00    0.9582    0.4581
     34.00    0.9632    0.4842
     35.00    0.9688    0.5106
     36.00    0.9747    0.5373
     37.00    0.9809    0.5641
     38.00    0.9870    0.5912
     39.00    0.9930    0.6184
     40.00    0.9987    0.6457
     41.00    1.0040    0.6731
     42.00    1.0088    0.7006
     43.00    1.0130    0.7282
     44.00    1.0166    0.7558
     45.00    1.0195    0.7834
