AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 22.09.2016 at 11:49:43 Compatible with AeroDyn v13.0.
Polar "T1_Re1.000_M0.00_N9.0 360 M (4)" on Foil "T1_Re1.000_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
15.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-4.02          Angle of attack for zero Cn for linear Cn curve (deg)
6.42858        Cn slope for zero lift for linear Cn curve (1/rad)
-0.5580        Cn at stall value for positive angle of attack for linear Cn curve
-0.7692        Cn at stall value for negative angle of attack for linear Cn curve
-5.50          Angle of attack for minimum CD (deg)
0.0070         Minimum CD value
   -180.00   -0.1165    0.0060
   -179.00   -0.0263    0.0065
   -178.00    0.0626    0.0080
   -177.00    0.1447    0.0106
   -176.00    0.2106    0.0141
   -175.00    0.2520    0.0186
   -174.00    0.2691    0.0242
   -173.00    0.2710    0.0307
   -172.00    0.2680    0.0382
   -171.00    0.2664    0.0466
   -170.00    0.2686    0.0561
   -169.00    0.2746    0.0664
   -168.00    0.2837    0.0777
   -167.00    0.2951    0.0899
   -166.00    0.3079    0.1030
   -165.00    0.3216    0.1170
   -164.00    0.3357    0.1318
   -163.00    0.3499    0.1475
   -162.00    0.3638    0.1640
   -161.00    0.3773    0.1813
   -160.00    0.3903    0.1993
   -159.00    0.4025    0.2182
   -158.00    0.4141    0.2377
   -157.00    0.4248    0.2580
   -156.00    0.4347    0.2790
   -155.00    0.4438    0.3006
   -154.00    0.4519    0.3228
   -153.00    0.4591    0.3457
   -152.00    0.4654    0.3691
   -151.00    0.4707    0.3930
   -150.00    0.4752    0.4175
   -149.00    0.4788    0.4424
   -148.00    0.4814    0.4678
   -147.00    0.4832    0.4937
   -146.00    0.4842    0.5199
   -145.00    0.4843    0.5464
   -144.00    0.4836    0.5733
   -143.00    0.4821    0.6005
   -142.00    0.4799    0.6280
   -141.00    0.4769    0.6556
   -140.00    0.4732    0.6835
   -139.00    0.4688    0.7115
   -138.00    0.4638    0.7396
   -137.00    0.4582    0.7679
   -136.00    0.4520    0.7962
   -135.00    0.4452    0.8245
   -134.00    0.4379    0.8528
   -133.00    0.4301    0.8810
   -132.00    0.4218    0.9091
   -131.00    0.4132    0.9372
   -130.00    0.4041    0.9651
   -129.00    0.3946    0.9928
   -128.00    0.3848    1.0203
   -127.00    0.3747    1.0475
   -126.00    0.3643    1.0745
   -125.00    0.3537    1.1011
   -124.00    0.3428    1.1274
   -123.00    0.3317    1.1533
   -122.00    0.3204    1.1788
   -121.00    0.3090    1.2039
   -120.00    0.2975    1.2285
   -119.00    0.2858    1.2526
   -118.00    0.2741    1.2762
   -117.00    0.2622    1.2992
   -116.00    0.2504    1.3216
   -115.00    0.2385    1.3434
   -114.00    0.2265    1.3646
   -113.00    0.2146    1.3851
   -112.00    0.2027    1.4050
   -111.00    0.1907    1.4241
   -110.00    0.1782    1.4425
   -109.00    0.1664    1.4601
   -108.00    0.1546    1.4770
   -107.00    0.1429    1.4931
   -106.00    0.1312    1.5083
   -105.00    0.1196    1.5228
   -104.00    0.1081    1.5363
   -103.00    0.0966    1.5490
   -102.00    0.0852    1.5609
   -101.00    0.0739    1.5718
   -100.00    0.0626    1.5818
    -99.00    0.0514    1.5909
    -98.00    0.0403    1.5991
    -97.00    0.0293    1.6064
    -96.00    0.0184    1.6127
    -95.00    0.0075    1.6180
    -94.00   -0.0033    1.6224
    -93.00   -0.0141    1.6258
